P1	Elphinstone Road --> Bandra
P80	Virar --> Umroli
P81	Mahim --> Churchgate
P82	Mira Road --> Vasai Road
P83	Matunga --> Khar Road
P84	Mira Road --> Kelve Road
P85	Kandivali --> Andheri
P86	Jogeshwari --> Mahalaxmi
P87	Churchgate --> Borivali
P88	Naigaon --> Nala Sopara
P89	Andheri --> Saphale
P90	Kandivali --> Dadar
P91	Goregaon --> Churchgate
P92	Mira Road --> Khar Road
P93	Marine Lines --> Malad
P94	Virar --> Elphinstone Road
P95	Kelve Road --> Jogeshwari
P96	Umroli --> Churchgate
P97	Goregaon --> Bandra
P98	Naigaon --> Andheri
P99	Charni Road --> Virar
P100	Mahalaxmi --> Andheri
P101	Bandra --> Vangaon
P102	Bhayandar --> Vasai Road
P103	Khar Road --> Nala Sopara
P104	Khar Road --> Dahisar
P105	Mira Road --> Dahisar
P106	Vangaon --> Mahalaxmi
P107	Bandra --> Malad
P108	Elphinstone Road --> Virar
P109	Vile Parle --> Churchgate
P110	Vasai Road --> Bhayandar
P111	Bhayandar --> Malad
P112	Vaitarna --> Saphale
P113	Khar Road --> Dahisar
P114	Saphale --> Andheri
P115	Vaitarna --> Palghar
P116	Palghar --> Andheri
P117	Dahanu Road --> Churchgate
P118	Dadar --> Palghar
P119	Kandivali --> Borivali
P120	Marine Lines --> Grant Road
P121	Nala Sopara --> Bandra
P122	Andheri --> Jogeshwari
P123	Borivali --> Mahalaxmi
P124	Kandivali --> Vaitarna
P125	Borivali --> Kandivali
P126	Dahisar --> Marine Lines
P127	Kandivali --> Naigaon
P128	Nala Sopara --> Grant Road
P129	Saphale --> Marine Lines
P130	Palghar --> Grant Road
P131	Khar Road --> Mahim
P132	Vangaon --> Boisar
P133	Palghar --> Santacruz
P134	Mumbai Central --> Bandra
P135	Goregaon --> Mira Road
P136	Borivali --> Nala Sopara
P137	Palghar --> Vile Parle
P138	Churchgate --> Mira Road
P139	Borivali --> Vangaon
P140	Mahim --> Naigaon
P141	Jogeshwari --> Naigaon
P142	Vangaon --> Naigaon
P143	Palghar --> Churchgate
P144	Virar --> Saphale
P145	Naigaon --> Dadar
P146	Malad --> Charni Road
P147	Dahisar --> Dadar
P148	Umroli --> Dahanu Road
P149	Malad --> Dadar
P150	Mahalaxmi --> Dahisar
P151	Mumbai Central --> Borivali
P152	Mahim --> Andheri
P153	Umroli --> Dahanu Road
P154	Marine Lines --> Santacruz
P155	Lower Parel --> Malad
P156	Malad --> Palghar
P157	Dahanu Road --> Goregaon
P158	Matunga --> Palghar
P159	Andheri --> Kandivali
P160	Dahanu Road --> Bandra
P161	Santacruz --> Marine Lines
P162	Vile Parle --> Mahalaxmi
P163	Vaitarna --> Borivali
P164	Goregaon --> Matunga
P165	Dahanu Road --> Bandra
P166	Goregaon --> Vasai Road
P167	Vasai Road --> Naigaon
P168	Bandra --> Saphale
P169	Khar Road --> Mira Road
P170	Dahisar --> Vile Parle
P171	Boisar --> Borivali
P172	Virar --> Dahisar
P173	Saphale --> Charni Road
P174	Kandivali --> Santacruz
P175	Mahim --> Marine Lines
P176	Mahim --> Marine Lines
P177	Umroli --> Mahim
P178	Dadar --> Churchgate
P179	Bandra --> Dahisar
P180	Mahim --> Borivali
P181	Dahanu Road --> Vaitarna
P182	Bandra --> Mira Road
P183	Umroli --> Vasai Road
P184	Naigaon --> Vaitarna
P185	Borivali --> Kandivali
P186	Matunga --> Mahalaxmi
P187	Matunga --> Santacruz
P188	Vile Parle --> Mahalaxmi
P189	Naigaon --> Kandivali
P190	Dahanu Road --> Vasai Road
P191	Umroli --> Churchgate
P192	Khar Road --> Mahim
P193	Matunga --> Boisar
P194	Dadar --> Andheri
P195	Vile Parle --> Kelve Road
P196	Jogeshwari --> Mahim
P197	Vile Parle --> Kelve Road
P198	Khar Road --> Mumbai Central
P199	Grant Road --> Marine Lines
P200	Bandra --> Mumbai Central
P201	Kandivali --> Elphinstone Road
P202	Mahim --> Goregaon
P203	Vaitarna --> Boisar
P204	Churchgate --> Kandivali
P205	Palghar --> Mahalaxmi
P206	Kelve Road --> Charni Road
P207	Marine Lines --> Malad
P208	Jogeshwari --> Kandivali
P209	Mahalaxmi --> Lower Parel
P210	Vangaon --> Mahalaxmi
P211	Malad --> Boisar
P212	Virar --> Saphale
P213	Mahalaxmi --> Vile Parle
P214	Churchgate --> Kandivali
P215	Churchgate --> Nala Sopara
P216	Lower Parel --> Grant Road
P217	Goregaon --> Umroli
P218	Grant Road --> Umroli
P219	Grant Road --> Palghar
P220	Umroli --> Bhayandar
P221	Andheri --> Khar Road
P222	Lower Parel --> Charni Road
P223	Jogeshwari --> Dahanu Road
P224	Vasai Road --> Matunga
P225	Mahim --> Mahalaxmi
P226	Marine Lines --> Borivali
P227	Kandivali --> Lower Parel
P228	Mumbai Central --> Mahalaxmi
P229	Mahim --> Elphinstone Road
P230	Charni Road --> Dahisar
P231	Mumbai Central --> Bandra
P232	Vangaon --> Bandra
P233	Mahalaxmi --> Vile Parle
P234	Malad --> Bandra
P235	Dadar --> Kandivali
P236	Malad --> Mumbai Central
P237	Andheri --> Mahim
P238	Malad --> Matunga
P239	Charni Road --> Palghar
P240	Nala Sopara --> Bhayandar
P241	Marine Lines --> Vangaon
P242	Umroli --> Naigaon
P243	Dahisar --> Mahalaxmi
P244	Mahim --> Marine Lines
P245	Borivali --> Churchgate
P246	Marine Lines --> Dahisar
P247	Bhayandar --> Vile Parle
P248	Mira Road --> Dahisar
P249	Lower Parel --> Andheri
P250	Dahanu Road --> Umroli
P251	Dahisar --> Lower Parel
P252	Matunga --> Vaitarna
P253	Malad --> Boisar
P254	Matunga --> Umroli
P255	Vasai Road --> Andheri
P256	Mahim --> Saphale
P257	Mahalaxmi --> Churchgate
P258	Churchgate --> Dadar
P259	Nala Sopara --> Saphale
P260	Bhayandar --> Matunga
P261	Saphale --> Naigaon
P262	Vile Parle --> Charni Road
P263	Marine Lines --> Churchgate
P264	Kelve Road --> Dahanu Road
P265	Lower Parel --> Dahanu Road
P266	Dahanu Road --> Jogeshwari
P267	Santacruz --> Mahim
P268	Khar Road --> Grant Road
P269	Khar Road --> Vasai Road
P270	Kandivali --> Naigaon
P271	Andheri --> Grant Road
P272	Dahisar --> Virar
P273	Vaitarna --> Dadar
P274	Charni Road --> Virar
P275	Dahanu Road --> Kandivali
P276	Charni Road --> Lower Parel
P277	Mumbai Central --> Vasai Road
P278	Vile Parle --> Dahisar
P279	Dahisar --> Boisar
P280	Virar --> Nala Sopara
P281	Dahanu Road --> Santacruz
P282	Malad --> Mumbai Central
P283	Boisar --> Vile Parle
P284	Bhayandar --> Mahim
P285	Lower Parel --> Goregaon
P286	Vangaon --> Mumbai Central
P287	Mira Road --> Dahanu Road
P288	Umroli --> Mumbai Central
P289	Jogeshwari --> Lower Parel
P290	Dahisar --> Santacruz
P291	Vaitarna --> Mahim
P292	Kandivali --> Santacruz
P293	Virar --> Dadar
P294	Marine Lines --> Borivali
P295	Kandivali --> Khar Road
P296	Bhayandar --> Saphale
P297	Vasai Road --> Dahanu Road
P298	Naigaon --> Borivali
P299	Lower Parel --> Churchgate
P300	Vaitarna --> Vile Parle
P301	Mahim --> Andheri
P302	Dahanu Road --> Kelve Road
P303	Charni Road --> Vaitarna
P304	Mahalaxmi --> Santacruz
P305	Nala Sopara --> Elphinstone Road
P306	Dahanu Road --> Vaitarna
P307	Churchgate --> Dadar
P308	Vaitarna --> Elphinstone Road
P309	Dadar --> Mira Road
P310	Churchgate --> Vasai Road
P311	Mahim --> Churchgate
P312	Vasai Road --> Khar Road
P313	Lower Parel --> Nala Sopara
P314	Mahalaxmi --> Virar
P315	Mira Road --> Nala Sopara
P316	Naigaon --> Vangaon
P317	Mira Road --> Dahanu Road
P318	Bhayandar --> Charni Road
P319	Vile Parle --> Mahim
P320	Santacruz --> Marine Lines
P321	Mumbai Central --> Jogeshwari
P322	Saphale --> Borivali
P323	Kandivali --> Boisar
P324	Santacruz --> Mahim
P325	Mahalaxmi --> Boisar
P326	Andheri --> Khar Road
P327	Dahisar --> Boisar
P328	Lower Parel --> Khar Road
P329	Jogeshwari --> Matunga
P330	Vile Parle --> Matunga
P331	Naigaon --> Goregaon
P332	Elphinstone Road --> Borivali
P333	Bhayandar --> Malad
P334	Grant Road --> Kandivali
P335	Mumbai Central --> Vasai Road
P336	Palghar --> Borivali
P337	Nala Sopara --> Vile Parle
P338	Kelve Road --> Vasai Road
P339	Vasai Road --> Boisar
P340	Andheri --> Khar Road
P341	Bandra --> Vaitarna
P342	Kelve Road --> Dahanu Road
P343	Kandivali --> Vasai Road
P344	Nala Sopara --> Saphale
P345	Charni Road --> Mumbai Central
P346	Mahim --> Andheri
P347	Kelve Road --> Mumbai Central
P348	Mahim --> Marine Lines
P349	Borivali --> Vangaon
P350	Mahalaxmi --> Khar Road
P351	Saphale --> Lower Parel
P352	Santacruz --> Nala Sopara
P353	Santacruz --> Mira Road
P354	Borivali --> Kelve Road
P355	Santacruz --> Dahanu Road
P356	Mahim --> Vangaon
P357	Jogeshwari --> Lower Parel
P358	Mumbai Central --> Jogeshwari
P359	Goregaon --> Saphale
P360	Kandivali --> Dadar
P361	Palghar --> Lower Parel
P362	Goregaon --> Khar Road
P363	Matunga --> Naigaon
P364	Mahim --> Goregaon
P365	Goregaon --> Kandivali
P366	Dahanu Road --> Lower Parel
P367	Churchgate --> Goregaon
P368	Bandra --> Borivali
P369	Mahim --> Naigaon
P370	Vile Parle --> Santacruz
P371	Mumbai Central --> Charni Road
P372	Mahalaxmi --> Malad
P373	Charni Road --> Dadar
P374	Jogeshwari --> Palghar
P375	Palghar --> Khar Road
P376	Lower Parel --> Vile Parle
P377	Kandivali --> Marine Lines
P378	Umroli --> Santacruz
P379	Kelve Road --> Santacruz
P380	Matunga --> Santacruz
P381	Lower Parel --> Mahalaxmi
P382	Mira Road --> Khar Road
P383	Andheri --> Vasai Road
P384	Dahanu Road --> Kelve Road
P385	Andheri --> Umroli
P386	Kelve Road --> Borivali
P387	Andheri --> Dahisar
P388	Dahanu Road --> Khar Road
P389	Malad --> Dahisar
P390	Goregaon --> Nala Sopara
P391	Andheri --> Palghar
P392	Kelve Road --> Boisar
P393	Naigaon --> Vangaon
P394	Vile Parle --> Vangaon
P395	Vaitarna --> Khar Road
P396	Vasai Road --> Palghar
P397	Umroli --> Dahanu Road
P398	Kelve Road --> Lower Parel
P399	Vangaon --> Lower Parel
P400	Grant Road --> Dahisar
P401	Vangaon --> Mira Road
P402	Kelve Road --> Palghar
P403	Palghar --> Boisar
P404	Kelve Road --> Matunga
P405	Matunga --> Kelve Road
P406	Marine Lines --> Malad
P407	Umroli --> Mumbai Central
P408	Mumbai Central --> Khar Road
P409	Umroli --> Vasai Road
P410	Santacruz --> Matunga
P411	Dahisar --> Matunga
P412	Borivali --> Bandra
P413	Jogeshwari --> Bhayandar
P414	Mahalaxmi --> Bhayandar
P415	Vile Parle --> Naigaon
P416	Charni Road --> Matunga
P417	Dahanu Road --> Marine Lines
P418	Mira Road --> Virar
P419	Palghar --> Mahim
P420	Nala Sopara --> Vaitarna
P421	Grant Road --> Saphale
P422	Goregaon --> Charni Road
P423	Naigaon --> Goregaon
P424	Bandra --> Mira Road
P425	Dahisar --> Churchgate
P426	Nala Sopara --> Umroli
P427	Vasai Road --> Jogeshwari
P428	Vile Parle --> Boisar
P429	Kelve Road --> Palghar
P430	Kandivali --> Bandra
P431	Mahalaxmi --> Churchgate
P432	Vangaon --> Virar
P433	Umroli --> Jogeshwari
P434	Borivali --> Elphinstone Road
P435	Vaitarna --> Vasai Road
P436	Umroli --> Virar
P437	Dahisar --> Churchgate
P438	Mira Road --> Dahisar
P439	Andheri --> Mumbai Central
P440	Matunga --> Khar Road
P441	Boisar --> Kandivali
P442	Elphinstone Road --> Lower Parel
P443	Matunga --> Mahim
P444	Dadar --> Dahisar
P445	Churchgate --> Umroli
P446	Marine Lines --> Naigaon
P447	Vaitarna --> Jogeshwari
P448	Dadar --> Grant Road
P449	Vaitarna --> Kandivali
P450	Nala Sopara --> Dadar
P451	Mahim --> Mahalaxmi
P452	Jogeshwari --> Malad
P453	Saphale --> Mahalaxmi
P454	Kandivali --> Khar Road
P455	Bhayandar --> Naigaon
P456	Bandra --> Mumbai Central
P457	Vile Parle --> Grant Road
P458	Mira Road --> Lower Parel
P459	Palghar --> Goregaon
P460	Dahanu Road --> Mahim
P461	Charni Road --> Andheri
P462	Malad --> Palghar
P463	Palghar --> Grant Road
P464	Mira Road --> Khar Road
P465	Jogeshwari --> Santacruz
P466	Malad --> Mumbai Central
P467	Dahanu Road --> Santacruz
P468	Umroli --> Mahalaxmi
P469	Matunga --> Vaitarna
P470	Matunga --> Elphinstone Road
P471	Boisar --> Borivali
P472	Vasai Road --> Umroli
P473	Marine Lines --> Vaitarna
P474	Bandra --> Naigaon
P475	Grant Road --> Nala Sopara
P476	Palghar --> Naigaon
P477	Marine Lines --> Bhayandar
P478	Goregaon --> Saphale
P479	Bhayandar --> Kandivali
P480	Kandivali --> Naigaon
P481	Andheri --> Dahisar
P482	Lower Parel --> Vaitarna
P483	Andheri --> Mahalaxmi
P484	Mahim --> Umroli
P485	Boisar --> Saphale
P486	Andheri --> Lower Parel
P487	Mahalaxmi --> Bhayandar
P488	Lower Parel --> Andheri
P489	Mahim --> Umroli
P490	Goregaon --> Mira Road
P491	Mahalaxmi --> Kandivali
P492	Khar Road --> Saphale
P493	Bhayandar --> Marine Lines
P494	Boisar --> Mahim
P495	Mahim --> Vasai Road
P496	Bandra --> Dadar
P497	Umroli --> Malad
P498	Kandivali --> Dahanu Road
P499	Santacruz --> Churchgate
P500	Jogeshwari --> Goregaon
P501	Mira Road --> Khar Road
P502	Marine Lines --> Khar Road
P503	Elphinstone Road --> Dahanu Road
P504	Saphale --> Khar Road
P505	Santacruz --> Mira Road
P506	Virar --> Mahim
P507	Mumbai Central --> Saphale
P508	Jogeshwari --> Bhayandar
P509	Boisar --> Marine Lines
P510	Bhayandar --> Virar
P511	Dadar --> Santacruz
P512	Virar --> Kandivali
P513	Virar --> Vasai Road
P514	Borivali --> Mira Road
P515	Kelve Road --> Mira Road
P516	Mumbai Central --> Bhayandar
P517	Charni Road --> Vile Parle
P518	Dadar --> Naigaon
P519	Vasai Road --> Bandra
P520	Dadar --> Kelve Road
P521	Palghar --> Grant Road
P522	Andheri --> Boisar
P523	Dahisar --> Dadar
P524	Vaitarna --> Bhayandar
P525	Bhayandar --> Palghar
P526	Khar Road --> Elphinstone Road
P527	Mahalaxmi --> Vasai Road
P528	Vile Parle --> Nala Sopara
P529	Umroli --> Khar Road
P530	Elphinstone Road --> Palghar
P531	Dahisar --> Boisar
P532	Jogeshwari --> Dadar
P533	Dahanu Road --> Vaitarna
P534	Borivali --> Naigaon
P535	Goregaon --> Mahalaxmi
P536	Santacruz --> Nala Sopara
P537	Borivali --> Saphale
P538	Andheri --> Dadar
P539	Khar Road --> Mumbai Central
P540	Malad --> Andheri
P541	Dahisar --> Vasai Road
P542	Dahanu Road --> Churchgate
P543	Vile Parle --> Dahanu Road
P544	Mahim --> Elphinstone Road
P545	Bhayandar --> Andheri
P546	Grant Road --> Khar Road
P547	Naigaon --> Elphinstone Road
P548	Bhayandar --> Mira Road
P549	Elphinstone Road --> Matunga
P550	Dadar --> Virar
P551	Vasai Road --> Charni Road
P552	Kelve Road --> Mumbai Central
P553	Vangaon --> Mira Road
P554	Grant Road --> Kelve Road
P555	Mira Road --> Palghar
P556	Naigaon --> Vangaon
P557	Saphale --> Boisar
P558	Elphinstone Road --> Charni Road
P559	Marine Lines --> Nala Sopara
P560	Bandra --> Mumbai Central
P561	Santacruz --> Lower Parel
P562	Santacruz --> Churchgate
P563	Mahalaxmi --> Dadar
P564	Kandivali --> Grant Road
P565	Kelve Road --> Boisar
P566	Umroli --> Charni Road
P567	Santacruz --> Khar Road
P568	Virar --> Mahalaxmi
P569	Vangaon --> Elphinstone Road
P570	Mira Road --> Grant Road
P571	Goregaon --> Dahanu Road
P572	Bhayandar --> Grant Road
P573	Dadar --> Lower Parel
P574	Mahalaxmi --> Vasai Road
P575	Nala Sopara --> Saphale
P576	Vile Parle --> Grant Road
P577	Elphinstone Road --> Mira Road
P578	Naigaon --> Mahalaxmi
P579	Borivali --> Dadar
P580	Palghar --> Goregaon
P581	Grant Road --> Mahim
P582	Vangaon --> Grant Road
P583	Malad --> Kandivali
P584	Mahim --> Kelve Road
P585	Santacruz --> Vile Parle
P586	Andheri --> Mumbai Central
P587	Vasai Road --> Dahanu Road
P588	Saphale --> Dahanu Road
P589	Palghar --> Kelve Road
P590	Borivali --> Matunga
P591	Bandra --> Jogeshwari
P592	Vaitarna --> Mira Road
P593	Palghar --> Malad
P594	Vangaon --> Elphinstone Road
P595	Palghar --> Santacruz
P596	Elphinstone Road --> Bhayandar
P597	Elphinstone Road --> Churchgate
P598	Kandivali --> Santacruz
P599	Andheri --> Grant Road
P600	Santacruz --> Palghar
P601	Andheri --> Naigaon
P602	Dahisar --> Vangaon
P603	Naigaon --> Mira Road
P604	Mahalaxmi --> Jogeshwari
P605	Vaitarna --> Lower Parel
P606	Dadar --> Goregaon
P607	Kelve Road --> Kandivali
P608	Mira Road --> Naigaon
P609	Marine Lines --> Lower Parel
P610	Boisar --> Vaitarna
P611	Palghar --> Mahim
P612	Naigaon --> Matunga
P613	Santacruz --> Grant Road
P614	Bandra --> Dahanu Road
P615	Charni Road --> Vangaon
P616	Kandivali --> Palghar
P617	Marine Lines --> Dahanu Road
P618	Bandra --> Jogeshwari
P619	Mahalaxmi --> Nala Sopara
P620	Mahalaxmi --> Vaitarna
P621	Santacruz --> Kandivali
P622	Umroli --> Matunga
P623	Khar Road --> Borivali
P624	Malad --> Santacruz
P625	Palghar --> Vasai Road
P626	Saphale --> Elphinstone Road
P627	Malad --> Umroli
P628	Boisar --> Bhayandar
P629	Lower Parel --> Mahim
P630	Goregaon --> Bandra
P631	Bandra --> Dadar
P632	Khar Road --> Saphale
P633	Mahalaxmi --> Jogeshwari
P634	Mumbai Central --> Kandivali
P635	Kandivali --> Matunga
P636	Mahim --> Matunga
P637	Grant Road --> Nala Sopara
P638	Borivali --> Santacruz
P639	Saphale --> Boisar
P640	Vasai Road --> Goregaon
P641	Charni Road --> Goregaon
P642	Kandivali --> Kelve Road
P643	Matunga --> Kelve Road
P644	Kandivali --> Elphinstone Road
P645	Bandra --> Boisar
P646	Santacruz --> Khar Road
P647	Dadar --> Marine Lines
P648	Nala Sopara --> Mahalaxmi
P649	Malad --> Borivali
P650	Jogeshwari --> Bhayandar
P651	Santacruz --> Umroli
P652	Boisar --> Saphale
P653	Mumbai Central --> Mahalaxmi
P654	Borivali --> Matunga
P655	Jogeshwari --> Dahanu Road
P656	Mira Road --> Matunga
P657	Malad --> Vile Parle
P658	Dahisar --> Matunga
P659	Mumbai Central --> Malad
P660	Palghar --> Dadar
P661	Matunga --> Kelve Road
P662	Mahim --> Palghar
P663	Marine Lines --> Matunga
P664	Bhayandar --> Grant Road
P665	Vile Parle --> Virar
P666	Saphale --> Nala Sopara
P667	Churchgate --> Mira Road
P668	Dadar --> Jogeshwari
P669	Mumbai Central --> Dadar
P670	Jogeshwari --> Dadar
P671	Umroli --> Vangaon
P672	Jogeshwari --> Malad
P673	Andheri --> Elphinstone Road
P674	Grant Road --> Mahalaxmi
P675	Borivali --> Umroli
P676	Virar --> Vasai Road
P677	Vaitarna --> Jogeshwari
P678	Boisar --> Grant Road
P679	Lower Parel --> Palghar
P680	Mumbai Central --> Mahim
P681	Elphinstone Road --> Mahalaxmi
P682	Boisar --> Palghar
P683	Vaitarna --> Borivali
P684	Khar Road --> Elphinstone Road
P685	Dahanu Road --> Mira Road
P686	Lower Parel --> Mahalaxmi
P687	Goregaon --> Nala Sopara
P688	Bhayandar --> Nala Sopara
P689	Kelve Road --> Naigaon
P690	Khar Road --> Dahanu Road
P691	Santacruz --> Churchgate
P692	Matunga --> Santacruz
P693	Boisar --> Matunga
P694	Vangaon --> Dadar
P695	Mira Road --> Khar Road
P696	Andheri --> Vasai Road
P697	Khar Road --> Vile Parle
P698	Naigaon --> Boisar
P699	Charni Road --> Vile Parle
P700	Malad --> Andheri
P701	Marine Lines --> Grant Road
P702	Kelve Road --> Vasai Road
P703	Naigaon --> Saphale
P704	Elphinstone Road --> Vangaon
P705	Vasai Road --> Dadar
P706	Charni Road --> Grant Road
P707	Kelve Road --> Bhayandar
P708	Mira Road --> Borivali
P709	Mira Road --> Dahanu Road
P710	Mira Road --> Vaitarna
P711	Virar --> Andheri
P712	Saphale --> Santacruz
P713	Matunga --> Churchgate
P714	Boisar --> Malad
P715	Naigaon --> Boisar
P716	Mumbai Central --> Mira Road
P717	Dahanu Road --> Dadar
P718	Bhayandar --> Dahisar
P719	Churchgate --> Goregaon
P720	Dadar --> Palghar
P721	Saphale --> Matunga
P722	Palghar --> Mahalaxmi
P723	Charni Road --> Andheri
P724	Vasai Road --> Mahalaxmi
P725	Saphale --> Kandivali
P726	Malad --> Mira Road
P727	Churchgate --> Dadar
P728	Mira Road --> Jogeshwari
P729	Dadar --> Jogeshwari
P730	Vangaon --> Vile Parle
P731	Bhayandar --> Dahanu Road
P732	Saphale --> Mahalaxmi
P733	Khar Road --> Borivali
P734	Kelve Road --> Mahim
P735	Virar --> Naigaon
P736	Marine Lines --> Matunga
P737	Mira Road --> Goregaon
P738	Matunga --> Mumbai Central
P739	Saphale --> Naigaon
P740	Vasai Road --> Khar Road
P741	Matunga --> Palghar
P742	Borivali --> Vile Parle
P743	Jogeshwari --> Lower Parel
P744	Lower Parel --> Vangaon
P745	Mahalaxmi --> Mahim
P746	Andheri --> Naigaon
P747	Vasai Road --> Matunga
P748	Borivali --> Khar Road
P749	Malad --> Khar Road
P750	Bhayandar --> Andheri
P751	Vile Parle --> Umroli
P752	Kelve Road --> Vile Parle
P753	Umroli --> Vangaon
P754	Bhayandar --> Lower Parel
P755	Vangaon --> Umroli
P756	Dahanu Road --> Bhayandar
P757	Jogeshwari --> Malad
P758	Santacruz --> Dahanu Road
P759	Naigaon --> Grant Road
P760	Mahim --> Vile Parle
P761	Vaitarna --> Malad
P762	Umroli --> Elphinstone Road
P763	Dadar --> Mumbai Central
P764	Churchgate --> Mira Road
P765	Mahalaxmi --> Lower Parel
P766	Saphale --> Vangaon
P767	Dahanu Road --> Mumbai Central
P768	Elphinstone Road --> Bhayandar
P769	Matunga --> Marine Lines
P770	Vaitarna --> Dadar
P771	Mahalaxmi --> Kandivali
P772	Vile Parle --> Bhayandar
P773	Kelve Road --> Naigaon
P774	Nala Sopara --> Boisar
P775	Dahanu Road --> Elphinstone Road
P776	Dahisar --> Vasai Road
P777	Palghar --> Naigaon
P778	Mahim --> Marine Lines
P779	Kelve Road --> Bandra
P780	Elphinstone Road --> Khar Road
P781	Churchgate --> Khar Road
P782	Mahim --> Dahisar
P783	Umroli --> Mahalaxmi
P784	Jogeshwari --> Dadar
P785	Marine Lines --> Boisar
P786	Mumbai Central --> Dahanu Road
P787	Khar Road --> Dadar
P788	Dahanu Road --> Mumbai Central
P789	Santacruz --> Jogeshwari
P790	Virar --> Dahisar
P791	Borivali --> Vangaon
P792	Vangaon --> Mira Road
P793	Dadar --> Grant Road
P794	Goregaon --> Kelve Road
P795	Borivali --> Kandivali
P796	Vangaon --> Boisar
P797	Vile Parle --> Virar
P798	Borivali --> Grant Road
P799	Boisar --> Virar
P800	Charni Road --> Vangaon
P801	Elphinstone Road --> Grant Road
P802	Elphinstone Road --> Dahanu Road
P803	Dahisar --> Elphinstone Road
P804	Marine Lines --> Malad
P805	Bhayandar --> Vangaon
P806	Palghar --> Kandivali
P807	Andheri --> Khar Road
P808	Saphale --> Matunga
P809	Borivali --> Saphale
P810	Khar Road --> Vangaon
P811	Boisar --> Malad
P812	Mumbai Central --> Mahim
P813	Vasai Road --> Elphinstone Road
P814	Churchgate --> Marine Lines
P815	Bhayandar --> Charni Road
P816	Umroli --> Khar Road
P817	Bandra --> Mira Road
P818	Dadar --> Borivali
P819	Vile Parle --> Borivali
P820	Borivali --> Malad
P821	Mumbai Central --> Umroli
P822	Naigaon --> Malad
P823	Umroli --> Mahim
P824	Vangaon --> Lower Parel
P825	Dahisar --> Saphale
P826	Khar Road --> Kelve Road
P827	Mira Road --> Malad
P828	Kelve Road --> Bandra
P829	Marine Lines --> Andheri
P830	Boisar --> Mira Road
P831	Mahim --> Mira Road
P832	Andheri --> Virar
P833	Boisar --> Vangaon
P834	Marine Lines --> Virar
P835	Goregaon --> Bandra
P836	Matunga --> Dadar
P837	Jogeshwari --> Vaitarna
P838	Kandivali --> Vangaon
P839	Andheri --> Virar
P840	Umroli --> Jogeshwari
P841	Lower Parel --> Vile Parle
P842	Kandivali --> Dahisar
P843	Andheri --> Matunga
P844	Santacruz --> Bandra
P845	Boisar --> Mahalaxmi
P846	Kandivali --> Umroli
P847	Santacruz --> Saphale
P848	Matunga --> Marine Lines
P849	Umroli --> Dadar
P850	Marine Lines --> Khar Road
P851	Andheri --> Goregaon
P852	Borivali --> Bandra
P853	Vasai Road --> Marine Lines
P854	Kelve Road --> Mahalaxmi
