P1	Borivali --> Churchgate
P82	Santacruz --> Vasai Road
P83	Boisar --> Lower Parel
P84	Palghar --> Naigaon
P85	Vasai Road --> Mumbai Central
P86	Vasai Road --> Bhayandar
P87	Marine Lines --> Virar
P88	Vile Parle --> Kelve Road
P89	Boisar --> Mahim
P90	Dahisar --> Vangaon
P91	Kelve Road --> Virar
P92	Malad --> Bhayandar
P93	Matunga --> Naigaon
P94	Kandivali --> Mumbai Central
P95	Mumbai Central --> Elphinstone Road
P96	Santacruz --> Dahanu Road
P97	Umroli --> Matunga
P98	Dadar --> Vile Parle
P99	Mahim --> Goregaon
P100	Santacruz --> Kelve Road
P101	Dahanu Road --> Andheri
P102	Mira Road --> Vile Parle
P103	Dahanu Road --> Khar Road
P104	Borivali --> Mumbai Central
P105	Vasai Road --> Jogeshwari
P106	Bhayandar --> Naigaon
P107	Saphale --> Jogeshwari
P108	Vaitarna --> Naigaon
P109	Mumbai Central --> Vile Parle
P110	Mira Road --> Bandra
P111	Andheri --> Virar
P112	Dadar --> Palghar
P113	Mahim --> Malad
P114	Andheri --> Borivali
P115	Umroli --> Mahalaxmi
P116	Virar --> Charni Road
P117	Dahisar --> Bhayandar
P118	Dahanu Road --> Kelve Road
P119	Malad --> Grant Road
P120	Vile Parle --> Mahim
P121	Santacruz --> Jogeshwari
P122	Elphinstone Road --> Bandra
P123	Bandra --> Goregaon
P124	Naigaon --> Saphale
P125	Dahanu Road --> Palghar
P126	Vile Parle --> Mumbai Central
P127	Boisar --> Bhayandar
P128	Grant Road --> Mumbai Central
P129	Dadar --> Khar Road
P130	Mumbai Central --> Grant Road
P131	Borivali --> Goregaon
P132	Khar Road --> Bhayandar
P133	Umroli --> Andheri
P134	Kandivali --> Dadar
P135	Borivali --> Jogeshwari
P136	Vasai Road --> Matunga
P137	Vangaon --> Saphale
P138	Marine Lines --> Elphinstone Road
P139	Nala Sopara --> Vangaon
P140	Mira Road --> Charni Road
P141	Andheri --> Khar Road
P142	Goregaon --> Marine Lines
P143	Goregaon --> Lower Parel
P144	Mahim --> Saphale
P145	Grant Road --> Santacruz
P146	Kandivali --> Charni Road
P147	Virar --> Dahisar
P148	Vasai Road --> Nala Sopara
P149	Borivali --> Santacruz
P150	Lower Parel --> Dahisar
P151	Dadar --> Mahalaxmi
P152	Jogeshwari --> Elphinstone Road
P153	Lower Parel --> Virar
P154	Churchgate --> Mumbai Central
P155	Dahisar --> Boisar
P156	Boisar --> Saphale
P157	Borivali --> Mira Road
P158	Vangaon --> Matunga
P159	Mahalaxmi --> Marine Lines
P160	Mahim --> Nala Sopara
P161	Marine Lines --> Mumbai Central
P162	Kandivali --> Matunga
P163	Elphinstone Road --> Grant Road
P164	Bhayandar --> Jogeshwari
P165	Marine Lines --> Vasai Road
P166	Churchgate --> Matunga
P167	Mumbai Central --> Khar Road
P168	Mahim --> Marine Lines
P169	Malad --> Boisar
P170	Kandivali --> Naigaon
P171	Elphinstone Road --> Kandivali
P172	Dahanu Road --> Boisar
P173	Marine Lines --> Matunga
P174	Lower Parel --> Dahanu Road
P175	Lower Parel --> Virar
P176	Naigaon --> Mahalaxmi
P177	Dahisar --> Santacruz
P178	Borivali --> Grant Road
P179	Dadar --> Palghar
P180	Borivali --> Vangaon
P181	Khar Road --> Vasai Road
P182	Mumbai Central --> Mira Road
P183	Mira Road --> Mumbai Central
P184	Vasai Road --> Khar Road
P185	Grant Road --> Dahanu Road
P186	Vile Parle --> Nala Sopara
P187	Vaitarna --> Kandivali
P188	Dahanu Road --> Andheri
P189	Mumbai Central --> Dahisar
P190	Bhayandar --> Virar
P191	Bhayandar --> Vasai Road
P192	Mahalaxmi --> Matunga
P193	Goregaon --> Malad
P194	Mumbai Central --> Vaitarna
P195	Elphinstone Road --> Kandivali
P196	Nala Sopara --> Bhayandar
P197	Vile Parle --> Virar
P198	Mumbai Central --> Churchgate
P199	Jogeshwari --> Dahisar
P200	Kandivali --> Matunga
P201	Bhayandar --> Kelve Road
P202	Goregaon --> Malad
P203	Santacruz --> Dahanu Road
P204	Kandivali --> Vangaon
P205	Dahanu Road --> Vangaon
P206	Dahanu Road --> Vangaon
P207	Dadar --> Palghar
P208	Grant Road --> Mahim
P209	Mumbai Central --> Jogeshwari
P210	Andheri --> Charni Road
P211	Malad --> Mahalaxmi
P212	Marine Lines --> Goregaon
P213	Umroli --> Andheri
P214	Grant Road --> Churchgate
P215	Boisar --> Palghar
P216	Andheri --> Goregaon
P217	Lower Parel --> Elphinstone Road
P218	Dahanu Road --> Mumbai Central
P219	Vile Parle --> Charni Road
P220	Kelve Road --> Kandivali
P221	Dahanu Road --> Vasai Road
P222	Dadar --> Elphinstone Road
P223	Andheri --> Elphinstone Road
P224	Mira Road --> Bhayandar
P225	Palghar --> Santacruz
P226	Mira Road --> Dadar
P227	Khar Road --> Lower Parel
P228	Malad --> Bandra
P229	Virar --> Malad
P230	Grant Road --> Mira Road
P231	Kandivali --> Vile Parle
P232	Malad --> Andheri
P233	Bandra --> Santacruz
P234	Malad --> Umroli
P235	Vasai Road --> Virar
P236	Lower Parel --> Bhayandar
P237	Virar --> Boisar
P238	Kandivali --> Bhayandar
P239	Mumbai Central --> Matunga
P240	Boisar --> Bhayandar
P241	Andheri --> Mumbai Central
P242	Grant Road --> Elphinstone Road
P243	Vasai Road --> Dahanu Road
P244	Umroli --> Nala Sopara
P245	Marine Lines --> Churchgate
P246	Vangaon --> Goregaon
P247	Matunga --> Vasai Road
P248	Bhayandar --> Grant Road
P249	Kandivali --> Grant Road
P250	Elphinstone Road --> Mira Road
P251	Nala Sopara --> Jogeshwari
P252	Dahisar --> Mahim
P253	Virar --> Palghar
P254	Naigaon --> Malad
P255	Umroli --> Malad
P256	Goregaon --> Elphinstone Road
P257	Dahisar --> Charni Road
P258	Mumbai Central --> Saphale
P259	Malad --> Bhayandar
P260	Boisar --> Matunga
P261	Khar Road --> Grant Road
P262	Mahim --> Boisar
P263	Naigaon --> Borivali
P264	Mira Road --> Borivali
P265	Lower Parel --> Malad
P266	Mahalaxmi --> Goregaon
P267	Vaitarna --> Elphinstone Road
P268	Dahanu Road --> Kandivali
P269	Virar --> Borivali
P270	Palghar --> Churchgate
P271	Vile Parle --> Charni Road
P272	Dahanu Road --> Kandivali
P273	Naigaon --> Dahanu Road
P274	Kelve Road --> Charni Road
P275	Dahanu Road --> Matunga
P276	Kelve Road --> Boisar
P277	Vile Parle --> Kelve Road
P278	Bandra --> Jogeshwari
P279	Saphale --> Malad
P280	Umroli --> Malad
P281	Umroli --> Bandra
P282	Palghar --> Bhayandar
P283	Saphale --> Andheri
P284	Grant Road --> Dahisar
P285	Vaitarna --> Goregaon
P286	Dadar --> Mira Road
P287	Palghar --> Mahalaxmi
P288	Malad --> Andheri
P289	Palghar --> Kelve Road
P290	Saphale --> Borivali
P291	Mahim --> Boisar
P292	Santacruz --> Dahanu Road
P293	Santacruz --> Khar Road
P294	Andheri --> Palghar
P295	Vile Parle --> Vangaon
P296	Dahisar --> Kelve Road
P297	Vaitarna --> Dahanu Road
P298	Khar Road --> Vasai Road
P299	Elphinstone Road --> Saphale
P300	Grant Road --> Churchgate
P301	Mumbai Central --> Santacruz
P302	Palghar --> Boisar
P303	Saphale --> Kandivali
P304	Dahisar --> Vasai Road
P305	Mahalaxmi --> Naigaon
P306	Borivali --> Charni Road
P307	Andheri --> Malad
P308	Malad --> Mahalaxmi
P309	Mira Road --> Elphinstone Road
P310	Virar --> Andheri
P311	Kelve Road --> Vaitarna
P312	Santacruz --> Jogeshwari
P313	Vangaon --> Borivali
P314	Mahalaxmi --> Mahim
P315	Virar --> Vasai Road
P316	Goregaon --> Mumbai Central
P317	Naigaon --> Andheri
P318	Palghar --> Dahisar
P319	Mira Road --> Andheri
P320	Malad --> Vangaon
P321	Dahanu Road --> Elphinstone Road
P322	Mira Road --> Borivali
P323	Nala Sopara --> Mahim
P324	Mahim --> Virar
P325	Andheri --> Churchgate
P326	Churchgate --> Andheri
P327	Borivali --> Mira Road
P328	Kandivali --> Santacruz
P329	Vasai Road --> Mumbai Central
P330	Vangaon --> Santacruz
P331	Malad --> Jogeshwari
P332	Marine Lines --> Nala Sopara
P333	Borivali --> Elphinstone Road
P334	Andheri --> Bhayandar
P335	Borivali --> Palghar
P336	Grant Road --> Vasai Road
P337	Mumbai Central --> Grant Road
P338	Bhayandar --> Mira Road
P339	Dahanu Road --> Vaitarna
P340	Malad --> Churchgate
P341	Jogeshwari --> Khar Road
P342	Santacruz --> Borivali
P343	Marine Lines --> Goregaon
P344	Vangaon --> Marine Lines
P345	Kelve Road --> Mahalaxmi
P346	Palghar --> Dahanu Road
P347	Kandivali --> Matunga
P348	Dahanu Road --> Borivali
P349	Kandivali --> Charni Road
P350	Kelve Road --> Elphinstone Road
P351	Matunga --> Umroli
P352	Kelve Road --> Boisar
P353	Virar --> Malad
P354	Saphale --> Boisar
P355	Boisar --> Kelve Road
P356	Malad --> Mahalaxmi
P357	Churchgate --> Bhayandar
P358	Saphale --> Vaitarna
P359	Dahanu Road --> Bandra
P360	Marine Lines --> Vaitarna
P361	Churchgate --> Mahim
P362	Andheri --> Dadar
P363	Kelve Road --> Elphinstone Road
P364	Vasai Road --> Charni Road
P365	Vangaon --> Boisar
P366	Dahisar --> Dahanu Road
P367	Nala Sopara --> Mira Road
P368	Kandivali --> Dahisar
P369	Kelve Road --> Bhayandar
P370	Bhayandar --> Kelve Road
P371	Santacruz --> Dahisar
P372	Mahim --> Goregaon
P373	Borivali --> Mumbai Central
P374	Dadar --> Vile Parle
P375	Mumbai Central --> Dadar
P376	Lower Parel --> Mahim
P377	Dahanu Road --> Mahalaxmi
P378	Churchgate --> Naigaon
P379	Kandivali --> Khar Road
P380	Andheri --> Vaitarna
P381	Nala Sopara --> Elphinstone Road
P382	Kelve Road --> Grant Road
P383	Matunga --> Kandivali
P384	Dadar --> Kelve Road
P385	Khar Road --> Borivali
P386	Umroli --> Elphinstone Road
P387	Jogeshwari --> Palghar
P388	Mahalaxmi --> Marine Lines
P389	Vasai Road --> Saphale
P390	Andheri --> Elphinstone Road
P391	Dadar --> Mira Road
P392	Nala Sopara --> Borivali
P393	Dadar --> Vile Parle
P394	Mahim --> Dadar
P395	Mumbai Central --> Palghar
P396	Khar Road --> Palghar
P397	Goregaon --> Matunga
P398	Mahim --> Virar
P399	Charni Road --> Andheri
P400	Boisar --> Kandivali
P401	Mahim --> Charni Road
P402	Jogeshwari --> Nala Sopara
P403	Dahisar --> Goregaon
P404	Santacruz --> Andheri
P405	Jogeshwari --> Andheri
P406	Bandra --> Kandivali
P407	Virar --> Nala Sopara
P408	Goregaon --> Matunga
P409	Santacruz --> Vasai Road
P410	Santacruz --> Elphinstone Road
P411	Mira Road --> Mahalaxmi
P412	Saphale --> Vangaon
P413	Churchgate --> Goregaon
P414	Charni Road --> Bandra
P415	Goregaon --> Umroli
P416	Virar --> Saphale
P417	Goregaon --> Naigaon
P418	Virar --> Grant Road
P419	Dahisar --> Naigaon
P420	Charni Road --> Bhayandar
P421	Jogeshwari --> Virar
P422	Nala Sopara --> Saphale
P423	Vile Parle --> Khar Road
P424	Santacruz --> Vile Parle
P425	Elphinstone Road --> Grant Road
P426	Churchgate --> Nala Sopara
P427	Matunga --> Charni Road
P428	Mumbai Central --> Naigaon
P429	Charni Road --> Boisar
P430	Santacruz --> Vasai Road
P431	Marine Lines --> Churchgate
P432	Naigaon --> Jogeshwari
P433	Mumbai Central --> Vangaon
P434	Khar Road --> Boisar
P435	Borivali --> Grant Road
P436	Marine Lines --> Boisar
P437	Mahalaxmi --> Dadar
P438	Vasai Road --> Nala Sopara
P439	Dahisar --> Bandra
P440	Borivali --> Goregaon
P441	Mumbai Central --> Andheri
P442	Naigaon --> Dadar
P443	Andheri --> Elphinstone Road
P444	Khar Road --> Mumbai Central
P445	Marine Lines --> Vangaon
P446	Andheri --> Dadar
P447	Mumbai Central --> Mahalaxmi
P448	Andheri --> Borivali
P449	Lower Parel --> Vaitarna
P450	Churchgate --> Matunga
P451	Umroli --> Vangaon
P452	Dahanu Road --> Nala Sopara
P453	Jogeshwari --> Marine Lines
P454	Matunga --> Dahanu Road
P455	Palghar --> Dahisar
P456	Borivali --> Vangaon
P457	Nala Sopara --> Kandivali
P458	Umroli --> Charni Road
P459	Saphale --> Dahanu Road
P460	Bhayandar --> Goregaon
P461	Churchgate --> Bhayandar
P462	Bhayandar --> Vile Parle
P463	Dadar --> Jogeshwari
P464	Malad --> Mahalaxmi
P465	Elphinstone Road --> Vasai Road
P466	Mahalaxmi --> Naigaon
P467	Khar Road --> Nala Sopara
P468	Mira Road --> Umroli
P469	Malad --> Mumbai Central
P470	Goregaon --> Santacruz
P471	Saphale --> Kelve Road
P472	Saphale --> Dahanu Road
P473	Mumbai Central --> Boisar
P474	Dahisar --> Borivali
P475	Mahalaxmi --> Marine Lines
P476	Mira Road --> Grant Road
P477	Charni Road --> Bhayandar
P478	Saphale --> Dadar
P479	Umroli --> Kandivali
P480	Bhayandar --> Vaitarna
P481	Virar --> Dahanu Road
P482	Bandra --> Borivali
P483	Vile Parle --> Bhayandar
P484	Palghar --> Dadar
P485	Mahalaxmi --> Vaitarna
P486	Charni Road --> Matunga
P487	Vasai Road --> Churchgate
P488	Bhayandar --> Umroli
P489	Elphinstone Road --> Borivali
P490	Santacruz --> Palghar
P491	Vasai Road --> Mira Road
P492	Virar --> Bhayandar
P493	Andheri --> Churchgate
P494	Santacruz --> Vangaon
P495	Mira Road --> Jogeshwari
P496	Kelve Road --> Mahim
P497	Malad --> Vile Parle
P498	Mahalaxmi --> Vasai Road
P499	Vasai Road --> Kandivali
P500	Churchgate --> Kandivali
P501	Lower Parel --> Khar Road
P502	Kandivali --> Saphale
P503	Vile Parle --> Borivali
P504	Virar --> Grant Road
P505	Santacruz --> Malad
P506	Khar Road --> Mahim
P507	Malad --> Kelve Road
P508	Jogeshwari --> Santacruz
P509	Dahisar --> Churchgate
P510	Lower Parel --> Charni Road
P511	Boisar --> Saphale
P512	Mumbai Central --> Marine Lines
P513	Vasai Road --> Khar Road
P514	Kelve Road --> Saphale
P515	Charni Road --> Kandivali
P516	Andheri --> Kandivali
P517	Khar Road --> Boisar
P518	Matunga --> Vaitarna
P519	Virar --> Dahisar
P520	Grant Road --> Saphale
P521	Kandivali --> Boisar
P522	Bhayandar --> Elphinstone Road
P523	Jogeshwari --> Churchgate
P524	Dahanu Road --> Saphale
P525	Mumbai Central --> Mira Road
P526	Mahalaxmi --> Khar Road
P527	Borivali --> Nala Sopara
P528	Khar Road --> Matunga
P529	Kandivali --> Boisar
P530	Kandivali --> Saphale
P531	Mumbai Central --> Malad
P532	Virar --> Dadar
P533	Bhayandar --> Elphinstone Road
P534	Boisar --> Bhayandar
P535	Marine Lines --> Matunga
P536	Vaitarna --> Borivali
P537	Marine Lines --> Borivali
P538	Matunga --> Khar Road
P539	Lower Parel --> Mahim
P540	Kelve Road --> Churchgate
P541	Lower Parel --> Vile Parle
P542	Matunga --> Boisar
P543	Mumbai Central --> Virar
P544	Andheri --> Dahisar
P545	Kelve Road --> Kandivali
P546	Palghar --> Vaitarna
P547	Elphinstone Road --> Malad
P548	Vasai Road --> Saphale
P549	Dahisar --> Mira Road
P550	Boisar --> Malad
P551	Grant Road --> Umroli
P552	Mahalaxmi --> Charni Road
P553	Dadar --> Marine Lines
P554	Kelve Road --> Mumbai Central
P555	Naigaon --> Bandra
P556	Umroli --> Kandivali
P557	Grant Road --> Andheri
P558	Vangaon --> Boisar
P559	Charni Road --> Mumbai Central
P560	Elphinstone Road --> Kelve Road
P561	Grant Road --> Santacruz
P562	Saphale --> Kandivali
P563	Boisar --> Churchgate
P564	Marine Lines --> Santacruz
P565	Charni Road --> Goregaon
P566	Marine Lines --> Goregaon
P567	Andheri --> Naigaon
P568	Malad --> Andheri
P569	Elphinstone Road --> Grant Road
P570	Andheri --> Borivali
P571	Bhayandar --> Jogeshwari
P572	Khar Road --> Elphinstone Road
P573	Andheri --> Elphinstone Road
P574	Andheri --> Churchgate
P575	Marine Lines --> Virar
P576	Andheri --> Khar Road
P577	Virar --> Grant Road
P578	Vaitarna --> Bhayandar
P579	Mumbai Central --> Dahisar
P580	Borivali --> Mira Road
P581	Palghar --> Mahim
P582	Umroli --> Naigaon
P583	Bandra --> Saphale
P584	Goregaon --> Matunga
P585	Andheri --> Jogeshwari
P586	Malad --> Vangaon
P587	Mira Road --> Santacruz
P588	Grant Road --> Virar
P589	Santacruz --> Lower Parel
P590	Borivali --> Saphale
P591	Malad --> Bhayandar
P592	Santacruz --> Umroli
P593	Churchgate --> Santacruz
P594	Mahalaxmi --> Umroli
P595	Mira Road --> Dadar
P596	Umroli --> Santacruz
P597	Charni Road --> Virar
P598	Elphinstone Road --> Boisar
P599	Marine Lines --> Dahisar
P600	Dadar --> Malad
P601	Goregaon --> Jogeshwari
P602	Mira Road --> Elphinstone Road
P603	Malad --> Dahanu Road
P604	Matunga --> Bhayandar
P605	Matunga --> Mumbai Central
P606	Santacruz --> Bhayandar
P607	Grant Road --> Dahanu Road
P608	Elphinstone Road --> Mahalaxmi
P609	Dadar --> Boisar
P610	Mahalaxmi --> Vasai Road
P611	Nala Sopara --> Jogeshwari
P612	Grant Road --> Nala Sopara
P613	Vangaon --> Jogeshwari
P614	Dadar --> Jogeshwari
P615	Dadar --> Mumbai Central
P616	Mumbai Central --> Churchgate
P617	Vangaon --> Borivali
P618	Virar --> Kandivali
P619	Umroli --> Dadar
P620	Bandra --> Jogeshwari
P621	Khar Road --> Elphinstone Road
P622	Saphale --> Borivali
P623	Naigaon --> Matunga
P624	Lower Parel --> Umroli
P625	Boisar --> Mahim
P626	Matunga --> Mahalaxmi
P627	Khar Road --> Dahisar
P628	Jogeshwari --> Kelve Road
P629	Khar Road --> Jogeshwari
P630	Boisar --> Marine Lines
P631	Khar Road --> Matunga
P632	Vangaon --> Nala Sopara
P633	Elphinstone Road --> Mahalaxmi
P634	Boisar --> Lower Parel
P635	Andheri --> Mahim
P636	Virar --> Nala Sopara
P637	Malad --> Mahalaxmi
P638	Palghar --> Virar
P639	Grant Road --> Kandivali
P640	Nala Sopara --> Charni Road
P641	Mira Road --> Kelve Road
P642	Borivali --> Churchgate
P643	Bhayandar --> Churchgate
P644	Mira Road --> Khar Road
P645	Vaitarna --> Charni Road
P646	Andheri --> Vangaon
P647	Virar --> Umroli
P648	Dahisar --> Borivali
P649	Matunga --> Mumbai Central
P650	Goregaon --> Vasai Road
P651	Dadar --> Matunga
P652	Churchgate --> Boisar
P653	Dadar --> Andheri
P654	Khar Road --> Marine Lines
P655	Dadar --> Malad
P656	Grant Road --> Goregaon
P657	Matunga --> Bhayandar
P658	Kelve Road --> Palghar
P659	Mumbai Central --> Vasai Road
P660	Saphale --> Malad
P661	Mahalaxmi --> Elphinstone Road
P662	Kandivali --> Saphale
P663	Vaitarna --> Palghar
P664	Malad --> Vasai Road
P665	Khar Road --> Umroli
P666	Dahisar --> Santacruz
P667	Andheri --> Santacruz
P668	Mahim --> Mumbai Central
P669	Charni Road --> Dahisar
P670	Elphinstone Road --> Mira Road
P671	Goregaon --> Khar Road
P672	Naigaon --> Borivali
P673	Kandivali --> Umroli
P674	Borivali --> Andheri
P675	Khar Road --> Kelve Road
P676	Mahim --> Mumbai Central
P677	Naigaon --> Kandivali
P678	Virar --> Goregaon
P679	Malad --> Mahim
P680	Matunga --> Churchgate
P681	Dahisar --> Jogeshwari
P682	Vile Parle --> Umroli
P683	Andheri --> Mahalaxmi
P684	Palghar --> Goregaon
P685	Dadar --> Vile Parle
P686	Boisar --> Mahalaxmi
P687	Bandra --> Palghar
P688	Matunga --> Khar Road
P689	Marine Lines --> Kelve Road
P690	Umroli --> Vasai Road
P691	Borivali --> Charni Road
P692	Mahalaxmi --> Khar Road
P693	Bhayandar --> Marine Lines
P694	Khar Road --> Saphale
P695	Grant Road --> Naigaon
P696	Mahim --> Marine Lines
P697	Umroli --> Vasai Road
P698	Churchgate --> Charni Road
P699	Khar Road --> Goregaon
P700	Mahalaxmi --> Palghar
P701	Khar Road --> Dahisar
P702	Vangaon --> Virar
P703	Malad --> Goregaon
P704	Marine Lines --> Andheri
P705	Charni Road --> Mahalaxmi
P706	Vaitarna --> Jogeshwari
P707	Vasai Road --> Mumbai Central
P708	Dadar --> Umroli
P709	Elphinstone Road --> Bhayandar
P710	Nala Sopara --> Dadar
P711	Borivali --> Goregaon
P712	Santacruz --> Kandivali
P713	Borivali --> Andheri
P714	Kelve Road --> Malad
P715	Vasai Road --> Umroli
P716	Nala Sopara --> Lower Parel
P717	Nala Sopara --> Lower Parel
P718	Vangaon --> Khar Road
P719	Mahalaxmi --> Palghar
P720	Matunga --> Jogeshwari
P721	Marine Lines --> Vaitarna
P722	Dahanu Road --> Churchgate
P723	Santacruz --> Naigaon
P724	Elphinstone Road --> Vangaon
P725	Saphale --> Dadar
P726	Umroli --> Churchgate
P727	Khar Road --> Santacruz
P728	Dadar --> Borivali
P729	Dahanu Road --> Grant Road
P730	Marine Lines --> Vasai Road
P731	Dahanu Road --> Naigaon
P732	Lower Parel --> Grant Road
P733	Saphale --> Dadar
P734	Mahim --> Khar Road
P735	Kelve Road --> Boisar
P736	Grant Road --> Kandivali
P737	Boisar --> Vaitarna
P738	Vile Parle --> Naigaon
P739	Dahanu Road --> Grant Road
P740	Dadar --> Charni Road
P741	Umroli --> Jogeshwari
P742	Mira Road --> Matunga
P743	Vasai Road --> Mumbai Central
P744	Malad --> Dahanu Road
P745	Khar Road --> Nala Sopara
P746	Saphale --> Borivali
P747	Dadar --> Dahanu Road
P748	Churchgate --> Palghar
P749	Nala Sopara --> Mahalaxmi
P750	Virar --> Boisar
P751	Mahalaxmi --> Naigaon
P752	Matunga --> Bandra
P753	Dahanu Road --> Dahisar
P754	Jogeshwari --> Borivali
P755	Vaitarna --> Palghar
P756	Borivali --> Kandivali
P757	Jogeshwari --> Churchgate
P758	Palghar --> Virar
P759	Santacruz --> Khar Road
P760	Churchgate --> Vaitarna
P761	Virar --> Vangaon
P762	Marine Lines --> Charni Road
P763	Vasai Road --> Vaitarna
P764	Churchgate --> Vangaon
P765	Mahalaxmi --> Marine Lines
P766	Churchgate --> Charni Road
P767	Mumbai Central --> Mahim
P768	Vangaon --> Nala Sopara
P769	Umroli --> Santacruz
P770	Vangaon --> Vasai Road
P771	Charni Road --> Kelve Road
P772	Dahisar --> Matunga
P773	Vaitarna --> Dahisar
P774	Mahim --> Vile Parle
P775	Khar Road --> Saphale
P776	Vaitarna --> Malad
P777	Grant Road --> Palghar
P778	Borivali --> Palghar
P779	Mahim --> Nala Sopara
P780	Charni Road --> Churchgate
P781	Bhayandar --> Andheri
P782	Lower Parel --> Mahalaxmi
P783	Jogeshwari --> Virar
P784	Charni Road --> Boisar
P785	Dahanu Road --> Kelve Road
P786	Bhayandar --> Boisar
P787	Vangaon --> Umroli
P788	Santacruz --> Nala Sopara
P789	Vaitarna --> Bhayandar
P790	Mira Road --> Bandra
P791	Charni Road --> Bhayandar
P792	Saphale --> Marine Lines
P793	Bhayandar --> Vangaon
P794	Dahanu Road --> Bhayandar
P795	Dahanu Road --> Goregaon
P796	Kandivali --> Borivali
P797	Goregaon --> Santacruz
P798	Goregaon --> Malad
P799	Matunga --> Saphale
P800	Mumbai Central --> Elphinstone Road
P801	Marine Lines --> Mumbai Central
P802	Dahisar --> Khar Road
P803	Virar --> Borivali
P804	Malad --> Andheri
P805	Mahalaxmi --> Mira Road
P806	Palghar --> Dahisar
P807	Jogeshwari --> Kelve Road
P808	Mumbai Central --> Mahalaxmi
P809	Boisar --> Khar Road
P810	Bandra --> Vasai Road
P811	Vasai Road --> Goregaon
P812	Vile Parle --> Elphinstone Road
P813	Mahalaxmi --> Vaitarna
P814	Nala Sopara --> Vaitarna
P815	Dadar --> Naigaon
P816	Bhayandar --> Vasai Road
P817	Boisar --> Vangaon
P818	Mahalaxmi --> Bhayandar
P819	Naigaon --> Saphale
P820	Elphinstone Road --> Jogeshwari
P821	Dadar --> Vangaon
P822	Malad --> Vaitarna
P823	Elphinstone Road --> Grant Road
P824	Saphale --> Charni Road
P825	Bandra --> Jogeshwari
P826	Jogeshwari --> Vasai Road
P827	Mira Road --> Borivali
P828	Dahanu Road --> Umroli
P829	Boisar --> Mahim
P830	Boisar --> Lower Parel
P831	Boisar --> Khar Road
P832	Malad --> Lower Parel
P833	Elphinstone Road --> Dahisar
P834	Palghar --> Mahalaxmi
P835	Malad --> Kandivali
P836	Marine Lines --> Mahim
P837	Mahim --> Naigaon
P838	Marine Lines --> Churchgate
P839	Vaitarna --> Nala Sopara
P840	Andheri --> Saphale
P841	Santacruz --> Dahanu Road
P842	Mahalaxmi --> Elphinstone Road
P843	Marine Lines --> Mira Road
P844	Lower Parel --> Bhayandar
P845	Malad --> Naigaon
P846	Saphale --> Mahalaxmi
P847	Vile Parle --> Bhayandar
P848	Khar Road --> Virar
P849	Mahim --> Boisar
P850	Grant Road --> Bhayandar
P851	Andheri --> Vile Parle
P852	Elphinstone Road --> Borivali
